gender,age,married,n_of_dependents,n_of_referrals,tenure_in_months,offer,phone_service,multiple_lines,internet_service,internet_type,avg_monthly_gb_download,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,streaming_music,unlimited_data,contract,paperless_billing,payment_method,ttl_refunds,ttl_extra_data_chg,ttl_l_distance_chg,ttl_revenue,customer_status
Female,39,No,0,0.0,56,No Offer,No,Yes,Yes,DSL,19.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,0.0,0,0.0,2560.1,0
Female,52,Yes,1,0.0,34,No Offer,No,No,Yes,DSL,20.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Credit Card,0.0,0,0.0,1993.2,0
Male,79,No,0,0.0,45,No Offer,Yes,No,Yes,DSL,17.0,Yes,No,Yes,No,No,Yes,No,Yes,One Year,No,Credit Card,0.0,0,480.15,3271.65,1
Male,67,No,0,0.0,1,No Offer,No,No,Yes,Cable,9.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,0.0,25.1,1
Female,79,Yes,0,0.0,50,No Offer,Yes,Yes,No,DSL,26.22592945662536,No,No,Yes,Yes,Yes,Yes,No,Yes,One Year,No,Bank Withdrawal,0.0,0,1571.5,2877.8,0
Female,30,Yes,2,1.0,23,Offer D,Yes,Yes,Yes,Fiber Optic,30.0,No,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,802.93,2652.88,0
Female,34,Yes,0,0.0,4,Offer E,Yes,No,No,Cable,26.22592945662536,Yes,No,No,Yes,No,Yes,No,Yes,Month-to-Month,No,Credit Card,0.0,0,49.72,126.07,1
Female,37,Yes,1,1.0,1,No Offer,No,No,Yes,DSL,19.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,0.0,0,0.0,30.5,1
Male,42,Yes,3,3.0,54,No Offer,Yes,No,No,Cable,26.22592945662536,Yes,Yes,No,No,No,No,Yes,Yes,Two Year,No,Credit Card,0.0,0,1063.8,2154.4,0
Male,64,No,0,0.0,26,Offer C,Yes,No,No,Fiber Optic,26.22592945662536,No,No,Yes,Yes,No,Yes,No,Yes,One Year,Yes,Bank Withdrawal,21.25,0,980.2,1430.8,0
Female,47,Yes,3,5.0,69,No Offer,Yes,No,No,DSL,26.22592945662536,No,Yes,Yes,Yes,No,Yes,No,Yes,Two Year,No,Bank Withdrawal,0.0,0,2648.91,4045.81,0
Female,48,Yes,0,5.0,49,Offer B,Yes,No,No,Fiber Optic,26.22592945662536,No,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,0.0,0,2429.42,3330.32,0
Female,28,No,0,0.0,67,No Offer,Yes,No,No,Cable,26.22592945662536,Yes,No,Yes,No,No,No,No,Yes,One Year,No,Bank Withdrawal,30.53,0,1549.04,2861.91,0
Male,33,Yes,1,4.0,20,No Offer,No,Yes,Yes,Cable,22.0,Yes,No,Yes,Yes,No,No,No,Yes,Two Year,Yes,Credit Card,0.0,0,0.0,825.4,0
Female,31,No,3,0.0,43,No Offer,Yes,Yes,No,Fiber Optic,26.22592945662536,Yes,No,No,Yes,Yes,No,Yes,Yes,Two Year,Yes,Bank Withdrawal,0.0,0,1317.52,2387.67,0
Female,37,Yes,0,2.0,55,Offer B,Yes,Yes,Yes,Fiber Optic,9.0,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,279.4,5239.0,0
Female,60,Yes,0,4.0,59,Offer B,Yes,Yes,Yes,Fiber Optic,14.0,Yes,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,967.01,6564.66,0
Female,48,Yes,3,3.0,12,No Offer,Yes,No,No,DSL,26.22592945662536,No,Yes,No,Yes,No,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,0.0,0,231.36,455.86,0
Male,60,Yes,3,7.0,27,Offer C,Yes,Yes,Yes,Fiber Optic,23.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,682.02,2611.02,0
Male,69,No,0,0.0,2,No Offer,Yes,No,Yes,DSL,27.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,87.98,179.08,1
Male,31,Yes,3,1.0,25,No Offer,Yes,Yes,No,DSL,26.22592945662536,Yes,Yes,No,No,No,Yes,No,Yes,Two Year,No,Credit Card,44.42,0,592.25,1178.43,0
Male,46,Yes,0,5.0,25,No Offer,Yes,No,Yes,Cable,19.0,Yes,Yes,Yes,No,No,No,No,Yes,One Year,Yes,Bank Withdrawal,44.9,0,161.25,1727.35,0
Male,57,No,1,0.0,29,No Offer,No,Yes,Yes,DSL,21.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Month-to-Month,Yes,Credit Card,12.26,0,0.0,1230.19,0
Female,64,No,0,0.0,14,No Offer,Yes,No,Yes,Cable,12.0,No,Yes,No,No,No,No,No,Yes,One Year,No,Credit Card,0.0,0,336.56,1064.41,0
Female,38,No,0,0.0,35,Offer C,Yes,No,Yes,Fiber Optic,2.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,0.0,0,1274.7,4806.7,0
Male,50,No,0,0.0,29,No Offer,Yes,No,Yes,Fiber Optic,17.0,No,No,No,Yes,Yes,Yes,Yes,No,Month-to-Month,Yes,Bank Withdrawal,0.0,20,59.45,2687.05,0
Female,72,No,0,0.0,40,No Offer,Yes,No,Yes,Fiber Optic,23.0,No,No,No,No,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,0.0,0,1765.6,5439.2,0
Male,51,No,0,0.0,40,No Offer,Yes,Yes,Yes,Fiber Optic,15.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,0.0,0,1507.6,5544.45,1
Female,78,No,1,0.0,11,Offer D,Yes,No,Yes,Fiber Optic,29.0,No,Yes,No,No,Yes,Yes,No,No,Month-to-Month,Yes,Bank Withdrawal,0.0,120,127.49,1367.79,1
Male,58,No,0,0.0,30,No Offer,Yes,Yes,Yes,DSL,15.0,Yes,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Mailed Check,0.0,0,79.2,1967.65,0
Male,26,No,0,0.0,27,No Offer,Yes,No,No,Fiber Optic,26.22592945662536,Yes,No,Yes,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,557.82,1087.62,0
Male,66,Yes,0,3.0,70,No Offer,Yes,Yes,Yes,Fiber Optic,28.0,No,Yes,Yes,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,6.11,0,2764.3,10067.14,0
Female,55,Yes,0,3.0,69,Offer A,Yes,Yes,Yes,Fiber Optic,27.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,0.0,0,2657.88,10840.73,0
Male,32,No,0,0.0,1,Offer E,Yes,No,No,DSL,26.22592945662536,No,Yes,Yes,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,31.77,51.62,1
Male,59,No,0,0.0,1,No Offer,Yes,Yes,Yes,Fiber Optic,25.0,No,No,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,40.71,140.46,1
Male,61,Yes,0,1.0,49,Offer B,Yes,Yes,Yes,Cable,10.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,0.0,0,1937.95,5997.3,1
Female,40,Yes,0,2.0,71,Offer A,No,Yes,Yes,Cable,29.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,0.0,0,0.0,4145.9,0
Female,39,No,0,0.0,33,No Offer,Yes,Yes,Yes,Fiber Optic,12.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,0.0,0,1639.77,5285.27,0
Male,52,Yes,1,1.0,37,No Offer,No,No,Yes,DSL,23.0,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,0.0,0,0.0,1448.8,1
Female,71,No,0,0.0,26,No Offer,Yes,No,Yes,Fiber Optic,7.0,Yes,No,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,0.0,0,877.24,3070.89,0
Male,45,No,0,0.0,50,Offer B,No,Yes,Yes,DSL,7.0,Yes,No,No,Yes,No,No,No,Yes,One Year,Yes,Credit Card,0.0,0,0.0,1748.9,0
Female,29,No,0,0.0,7,No Offer,Yes,Yes,Yes,Fiber Optic,26.0,No,No,No,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,13.03,0,200.34,698.56,1
Female,62,Yes,0,1.0,61,Offer B,Yes,Yes,Yes,DSL,28.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Mailed Check,0.0,0,2878.59,8405.34,0
Male,42,No,0,0.0,15,Offer D,Yes,No,Yes,Fiber Optic,12.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,688.8,2242.75,1
Female,51,No,2,0.0,26,No Offer,No,Yes,Yes,DSL,19.0,Yes,No,No,Yes,No,Yes,Yes,Yes,Month-to-Month,No,Credit Card,0.0,0,0.0,1147.0,0
Male,64,Yes,0,1.0,44,No Offer,Yes,No,No,Fiber Optic,26.22592945662536,Yes,No,Yes,Yes,No,Yes,Yes,Yes,One Year,Yes,Bank Withdrawal,0.0,0,1205.6,2070.65,0
Female,40,No,0,0.0,2,No Offer,Yes,No,Yes,Fiber Optic,16.0,Yes,Yes,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,73.62,255.27,1
Female,76,No,0,0.0,44,No Offer,Yes,No,Yes,DSL,17.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One Year,No,Bank Withdrawal,17.91,0,339.68,3589.82,0
Female,57,No,0,0.0,12,Offer D,Yes,Yes,Yes,Fiber Optic,6.0,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,172.56,1224.96,1
Male,71,Yes,0,1.0,69,No Offer,Yes,Yes,Yes,Fiber Optic,17.0,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,0.0,0,1270.29,8904.54,0
Female,24,No,0,0.0,3,Offer E,Yes,No,No,Fiber Optic,26.22592945662536,No,Yes,No,No,Yes,Yes,No,Yes,Month-to-Month,No,Credit Card,0.0,0,77.25,141.0,1
Female,77,No,0,0.0,27,No Offer,Yes,Yes,Yes,Fiber Optic,4.0,No,Yes,Yes,No,No,No,No,Yes,Two Year,Yes,Bank Withdrawal,0.0,0,80.19,2481.24,0
Male,57,No,0,0.0,26,Offer C,Yes,No,No,Cable,26.22592945662536,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,346.84,858.09,0
Male,41,No,0,0.0,25,No Offer,Yes,Yes,Yes,Fiber Optic,8.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,872.0,3234.1,1
Female,43,No,0,0.0,1,Offer E,Yes,No,Yes,Fiber Optic,23.0,No,No,No,No,No,No,No,Yes,Month-to-Month,No,Mailed Check,0.0,0,39.81,110.71,1
Male,48,Yes,0,1.0,22,Offer D,Yes,No,Yes,DSL,21.0,Yes,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,599.28,1751.98,1
Female,51,No,0,0.0,24,No Offer,Yes,No,No,DSL,26.22592945662536,No,No,Yes,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,0.0,0,255.36,725.56,0
Male,21,Yes,2,2.0,71,No Offer,Yes,Yes,No,Fiber Optic,26.22592945662536,No,Yes,No,No,Yes,No,No,No,Two Year,No,Credit Card,0.0,0,653.2,2500.75,0
Male,78,Yes,0,7.0,33,No Offer,Yes,Yes,Yes,Fiber Optic,20.0,Yes,No,Yes,Yes,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,0.0,0,829.95,4524.65,0
Male,54,Yes,1,7.0,47,No Offer,Yes,Yes,Yes,Fiber Optic,13.0,No,Yes,No,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,0.0,0,51.23,4068.68,0
Male,42,Yes,3,2.0,62,No Offer,Yes,No,Yes,Fiber Optic,20.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Credit Card,0.0,0,109.12,6934.77,0
Female,56,Yes,2,6.0,27,Offer C,Yes,No,Yes,Fiber Optic,28.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,No,Credit Card,0.0,0,1259.82,3232.17,0
Male,80,No,0,0.0,30,No Offer,Yes,No,Yes,DSL,5.0,Yes,Yes,No,No,Yes,Yes,No,Yes,One Year,Yes,Bank Withdrawal,0.0,0,1158.3,3269.6,0
Female,73,Yes,0,1.0,58,No Offer,Yes,No,Yes,Fiber Optic,19.0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,0.0,0,982.52,7188.02,1
Female,59,No,0,0.0,9,No Offer,Yes,Yes,Yes,Fiber Optic,28.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Credit Card,0.0,0,83.43,717.28,0
Female,78,Yes,0,1.0,6,No Offer,Yes,Yes,Yes,Fiber Optic,17.0,No,No,No,No,No,Yes,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,172.26,647.16,1
Female,47,Yes,1,7.0,69,No Offer,Yes,Yes,Yes,Fiber Optic,16.0,Yes,No,Yes,No,No,No,No,No,One Year,No,Bank Withdrawal,0.0,40,2685.48,8574.08,0
Female,68,No,0,0.0,66,No Offer,Yes,Yes,Yes,Fiber Optic,20.0,Yes,No,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Bank Withdrawal,0.0,0,689.7,7161.55,0
Male,62,No,0,0.0,25,Offer C,Yes,Yes,No,Fiber Optic,26.22592945662536,No,No,No,Yes,No,Yes,Yes,No,One Year,No,Bank Withdrawal,0.0,0,139.25,815.6,1
Female,52,Yes,2,1.0,46,Offer B,Yes,No,No,Fiber Optic,26.22592945662536,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Two Year,Yes,Credit Card,0.0,0,1119.18,1983.38,0
Female,63,Yes,0,7.0,54,Offer B,Yes,Yes,Yes,Fiber Optic,26.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One Year,Yes,Credit Card,0.0,0,615.6,6665.1,0
Female,54,No,0,0.0,15,No Offer,Yes,No,Yes,Fiber Optic,7.0,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,0.0,0,335.85,1918.6,1
Female,48,Yes,1,0.0,12,Offer D,Yes,No,No,Fiber Optic,26.22592945662536,No,Yes,No,Yes,Yes,Yes,No,Yes,Month-to-Month,No,Bank Withdrawal,0.0,0,99.0,297.1,0
Female,51,No,0,0.0,22,No Offer,No,Yes,Yes,Cable,22.0,No,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,0.0,1098.85,0
Male,52,No,0,0.0,30,Offer C,Yes,No,Yes,Fiber Optic,20.0,Yes,Yes,Yes,No,No,No,No,No,Month-to-Month,Yes,Credit Card,0.0,130,741.9,3310.5,0
Male,33,Yes,0,2.0,30,No Offer,Yes,No,No,Fiber Optic,26.22592945662536,Yes,No,No,No,No,No,No,No,One Year,No,Credit Card,0.0,0,294.3,870.95,0
Male,26,Yes,0,5.0,4,Offer E,Yes,Yes,Yes,Fiber Optic,19.0,No,Yes,Yes,No,No,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,115.08,486.98,1
Male,58,No,0,0.0,2,Offer E,Yes,No,Yes,Fiber Optic,28.0,No,No,Yes,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,28.28,195.58,1
Male,22,No,1,0.0,10,No Offer,Yes,No,No,Fiber Optic,26.22592945662536,Yes,Yes,No,No,Yes,No,Yes,Yes,One Year,Yes,Bank Withdrawal,0.0,0,78.6,298.1,0
Male,66,No,0,0.0,4,Offer E,Yes,No,Yes,Fiber Optic,29.0,Yes,No,No,No,No,No,No,Yes,One Year,No,Bank Withdrawal,0.0,0,145.6,419.0,0
Male,69,No,0,0.0,52,Offer B,No,No,Yes,DSL,19.0,Yes,No,No,No,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,0.0,0,0.0,2555.05,0
Male,30,Yes,3,1.0,8,Offer E,Yes,No,No,Fiber Optic,26.22592945662536,No,No,No,Yes,No,No,No,No,Two Year,No,Credit Card,0.0,0,22.96,188.46,0
Male,40,No,0,0.0,19,Offer D,Yes,Yes,Yes,DSL,18.0,No,No,Yes,Yes,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,0.0,0,225.15,1369.75,0
Male,53,No,0,0.0,72,Offer A,Yes,Yes,Yes,DSL,13.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,0.0,0,263.52,5171.77,0
Male,76,Yes,0,2.0,63,Offer B,No,Yes,Yes,DSL,7.0,Yes,No,No,Yes,No,No,No,Yes,One Year,No,Bank Withdrawal,0.0,0,0.0,2298.9,0
Male,38,Yes,0,1.0,66,No Offer,No,No,Yes,DSL,29.0,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,0.0,0,0.0,3789.2,0
Male,23,No,0,0.0,1,No Offer,Yes,No,Yes,Fiber Optic,27.0,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,44.56,120.46,1
Female,43,Yes,3,3.0,48,No Offer,No,Yes,Yes,DSL,22.0,Yes,No,Yes,No,No,Yes,Yes,Yes,One Year,No,Credit Card,0.0,0,0.0,2196.3,0
Female,45,No,0,0.0,1,Offer E,Yes,No,Yes,Fiber Optic,4.0,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,0.0,0,33.34,118.89,1
Male,49,No,0,0.0,15,No Offer,Yes,Yes,Yes,Fiber Optic,15.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,733.95,2178.6,1
Female,62,Yes,0,4.0,50,Offer B,Yes,Yes,Yes,Fiber Optic,13.0,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,1728.5,7134.3,0
Female,37,No,0,0.0,46,No Offer,Yes,Yes,Yes,Fiber Optic,21.0,Yes,Yes,No,No,No,No,No,No,Month-to-Month,No,Credit Card,0.0,100,1990.42,5938.02,0
Female,35,Yes,1,4.0,72,No Offer,Yes,Yes,Yes,DSL,19.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,0.0,0,2160.0,8893.0,0
Female,69,No,0,0.0,67,Offer A,Yes,No,Yes,Fiber Optic,21.0,Yes,Yes,No,Yes,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,0.0,0,172.19,6313.04,0
Female,44,Yes,1,5.0,48,No Offer,Yes,Yes,Yes,DSL,27.0,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,0.0,0,429.12,4299.42,0
Male,64,Yes,0,6.0,52,Offer B,Yes,Yes,Yes,Cable,24.0,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,One Year,Yes,Credit Card,0.0,0,2149.68,6504.13,0
Female,58,Yes,0,1.0,28,Offer C,Yes,No,Yes,Fiber Optic,13.0,No,No,No,No,No,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,471.8,2698.9,1
Female,80,Yes,0,2.0,27,No Offer,Yes,No,Yes,Cable,25.0,Yes,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,189.54,2118.89,1
Male,22,No,0,0.0,2,Offer E,Yes,Yes,Yes,Cable,27.0,No,No,No,No,Yes,No,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,80.86,262.36,1
Female,50,No,2,0.0,9,No Offer,Yes,No,Yes,Cable,11.0,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Credit Card,0.0,0,319.41,970.81,1
Female,45,Yes,2,1.0,71,No Offer,Yes,No,No,Cable,26.22592945662536,No,Yes,No,No,Yes,Yes,Yes,Yes,Two Year,No,Bank Withdrawal,0.0,0,2203.13,3592.73,0
Male,76,Yes,0,2.0,32,Offer C,Yes,Yes,Yes,Fiber Optic,10.0,No,No,No,No,No,No,No,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,1514.88,3818.23,1
Male,43,Yes,1,1.0,72,No Offer,Yes,Yes,Yes,Fiber Optic,13.0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Two Year,Yes,Credit Card,0.0,0,1147.68,9206.23,0
Female,41,No,0,0.0,3,Offer E,Yes,No,No,DSL,26.22592945662536,No,No,Yes,No,Yes,No,No,Yes,Month-to-Month,No,Bank Withdrawal,0.0,0,73.89,132.74,1
Male,22,Yes,3,1.0,23,No Offer,Yes,Yes,No,Fiber Optic,26.22592945662536,No,No,Yes,No,Yes,No,Yes,Yes,One Year,No,Credit Card,0.0,0,1104.46,1642.96,0
Male,62,Yes,2,1.0,72,No Offer,Yes,Yes,Yes,DSL,18.0,Yes,Yes,Yes,Yes,No,No,No,Yes,Two Year,No,Bank Withdrawal,25.24,0,2042.64,7119.75,0
Male,30,No,0,0.0,5,Offer E,Yes,No,No,Fiber Optic,26.22592945662536,No,No,Yes,Yes,Yes,No,Yes,Yes,Month-to-Month,No,Credit Card,0.0,0,171.3,285.15,1
Male,38,No,1,0.0,49,No Offer,Yes,Yes,Yes,Fiber Optic,11.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,2172.17,7208.47,1
Male,56,Yes,0,2.0,63,Offer B,Yes,No,No,DSL,26.22592945662536,Yes,Yes,No,No,No,Yes,No,Yes,Two Year,Yes,Bank Withdrawal,0.0,0,2416.68,3651.48,0
Female,70,Yes,1,1.0,12,Offer D,No,Yes,Yes,DSL,14.0,No,No,No,Yes,No,No,No,Yes,Month-to-Month,Yes,Mailed Check,0.0,0,0.0,355.9,0
Female,57,No,0,0.0,35,No Offer,Yes,No,Yes,DSL,20.0,Yes,Yes,Yes,No,No,No,No,Yes,Month-to-Month,No,Bank Withdrawal,0.0,0,1568.35,3550.95,0
Female,40,Yes,2,7.0,54,Offer B,Yes,Yes,Yes,DSL,12.0,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,233.82,4757.87,0
Male,56,No,0,0.0,1,No Offer,Yes,Yes,Yes,Fiber Optic,2.0,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,5.59,101.04,1
Male,38,No,0,0.0,5,Offer E,Yes,No,Yes,DSL,5.0,No,No,Yes,Yes,Yes,No,No,Yes,Month-to-Month,Yes,Credit Card,0.0,0,69.8,387.9,0
Male,61,No,0,0.0,19,No Offer,Yes,No,Yes,DSL,6.0,No,Yes,No,Yes,No,Yes,Yes,No,One Year,Yes,Bank Withdrawal,0.0,60,794.01,2085.86,0
Male,35,Yes,2,1.0,52,No Offer,No,Yes,Yes,DSL,17.0,No,Yes,Yes,Yes,Yes,No,No,Yes,Two Year,No,Credit Card,27.01,0,0.0,2526.99,0
Male,50,No,0,0.0,32,No Offer,Yes,No,No,DSL,26.22592945662536,No,No,No,No,Yes,No,No,Yes,Two Year,Yes,Bank Withdrawal,9.73,0,477.12,1081.84,0
Female,47,Yes,0,1.0,8,No Offer,Yes,No,Yes,Fiber Optic,6.0,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Month-to-Month,No,Bank Withdrawal,0.0,0,135.04,977.94,1
Male,35,No,0,0.0,41,Offer B,Yes,Yes,Yes,DSL,30.0,No,No,Yes,No,No,Yes,Yes,No,One Year,No,Mailed Check,0.0,140,1539.55,4211.35,0
Male,32,No,0,0.0,5,No Offer,Yes,No,No,DSL,26.22592945662536,Yes,Yes,No,No,Yes,Yes,No,Yes,Month-to-Month,Yes,Credit Card,0.0,0,105.05,191.1,0
Female,54,No,1,0.0,11,No Offer,No,Yes,Yes,DSL,17.0,Yes,No,No,Yes,No,No,No,No,One Year,Yes,Credit Card,0.0,100,0.0,502.6,0
Male,61,No,0,0.0,5,No Offer,Yes,No,Yes,Fiber Optic,11.0,No,No,No,Yes,Yes,Yes,Yes,Yes,Month-to-Month,Yes,Bank Withdrawal,0.0,0,155.45,608.85,1
Female,62,No,0,0.0,16,Offer D,Yes,No,No,DSL,26.22592945662536,No,No,Yes,No,No,No,Yes,Yes,One Year,No,Credit Card,0.0,0,664.16,990.81,0
